,2a,7a,9a,10a,19a,22a,23a,33b,35a,43a,43b,47a,47b,49b,59b,65a,67a,67c,82a,85a,85b,85f,88a,98a
butyric acid,2.0479339060820288e-05,0.00030970255688328734,0.002431499020044129,0.00023502431014030563,1.2230964782912933e-05,0.0018393546448585063,1e-05,1e-05,3.131537390947473e-05,1e-05,0.00012119483662401179,7.508741614385087e-05,1e-05,1e-05,0.0002771222591195098,1e-05,0.002145865203987751,0.00012119483662401179,1e-05,1e-05,0.0002885279439838414,0.0001682791329477948,1e-05,2.0479339060820288e-05
pentanoic acid,1e-05,0.00012119483662401179,0.00012119483662401179,0.00012119483662401179,0.00018666570707046192,0.0004241432241349141,1e-05,1e-05,0.0002771222591195098,1e-05,1e-05,5.287896297373533e-05,1e-05,1e-05,0.00016136337660656753,1e-05,0.008032913179064443,6.170109591827987e-05,0.00013353091342835986,1e-05,0.0002012783359190799,8.607698236551465e-05,1e-05,1e-05
hexanoic acid,1e-05,1e-05,0.00015262815506724117,8.68558273476034e-05,0.00018666570707046192,0.0018393546448585063,1e-05,0.00012119483662401179,1e-05,1e-05,1e-05,1.0341465315171297e-05,1e-05,1e-05,0.00020284463258896283,1e-05,9.834532259575764e-05,9.69067811086846e-05,9.748162051825482e-05,1e-05,0.0002893016186075963,0.0001682791329477948,1e-05,3.7910761962038456e-05
heptanoic acid,1e-05,1e-05,1e-05,1e-05,1e-05,6.0581530345382e-05,1e-05,1e-05,2.0479339060820288e-05,1e-05,0.00012119483662401179,1e-05,1e-05,1e-05,7.508741614385087e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.00027891120829320247,2.4397692866646402e-05,1e-05,1e-05
octanoic acid,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,3.131537390947473e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0006682559278855031,4.929952779764013e-05,1e-05,1e-05
nonanoic acid,1e-05,1e-05,1e-05,1e-05,1e-05,2.0479339060820288e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2.0479339060820288e-05,1e-05,1e-05,0.0003427599932777004,3.131537390947473e-05,1e-05,1e-05
linoleic acid,1e-05,0.0022587188127227878,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0002809723367106274,1e-05,0.0002771222591195098,0.0001354293828773966,1e-05,1e-05,2.0479339060820288e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0005346726315720581,4.1382099989292634e-05,1e-05,1e-05
isobutyric acid,1e-05,1e-05,0.00012119483662401179,0.0001717980011649978,1e-05,0.0002809723367106274,1e-05,1e-05,1e-05,1e-05,3.131537390947473e-05,5.287896297373533e-05,1e-05,1e-05,0.00021423320921828588,1e-05,1e-05,8.991207340042926e-05,1.7989464059794254e-05,1e-05,0.00026392829641957565,0.00010225656024699785,1e-05,1.0341465315171297e-05
isopentanoic acid,1e-05,1e-05,0.00016136337660656753,0.00013287967716227647,0.00012071389136115335,0.0003749294500662229,1e-05,1e-05,1e-05,1e-05,2.0479339060820288e-05,2.060367444034779e-05,1e-05,1e-05,0.0002012783359190799,1e-05,0.000377100849374638,0.00012071389136115335,0.0001426571550392635,1e-05,9.834532259575764e-05,0.0001118293391592037,1e-05,1e-05
pyruvic acid,1e-05,0.0004965337997401578,0.00014447508939295856,0.00012575058585997132,1e-05,0.0002885279439838414,1e-05,1e-05,1e-05,1e-05,2.0479339060820288e-05,7.473701495206925e-05,1e-05,1e-05,0.00012119483662401179,1e-05,1e-05,6.170109591827987e-05,1e-05,1e-05,0.00012575058585997132,6.170109591827987e-05,1e-05,1e-05
2-ethylhexanoic acid,1e-05,1e-05,1e-05,1e-05,1e-05,0.00012575058585997132,1e-05,1e-05,1e-05,1e-05,0.0003912494132485912,0.00012119483662401179,1e-05,1e-05,0.00012575058585997132,1e-05,1e-05,3.9563737064795435e-05,1e-05,1e-05,0.0012829270010550962,0.0001354293828773966,1e-05,1e-05
lactic acid,1e-05,1e-05,1e-05,0.0002471034972826896,1e-05,0.0002893016186075963,1e-05,1e-05,1e-05,1e-05,1e-05,5.287896297373533e-05,1e-05,1e-05,7.508741614385087e-05,1e-05,1e-05,0.0001618314827427658,1e-05,1e-05,5.287896297373533e-05,6.170109591827987e-05,1e-05,3.7910761962038456e-05
3-methylthio-1-propanol,1e-05,0.0001859478527171598,0.001230389542025748,1e-05,1e-05,0.0003410707980068767,1e-05,1e-05,0.005537994128889365,1e-05,0.0002885279439838414,0.00720871503377465,1e-05,1e-05,0.00021940879358907584,1e-05,0.00043912128052129266,0.00044150199894595874,0.00018666570707046192,0.00015262815506724117,0.000377100849374638,0.0003955003178169639,1e-05,0.0001682791329477948
dimethyl sulfide,1e-05,1e-05,0.00012119483662401179,1e-05,1e-05,6.170109591827987e-05,1e-05,1e-05,1e-05,1e-05,3.7910761962038456e-05,1e-05,1e-05,1e-05,0.000639455621401708,1e-05,1e-05,1e-05,1e-05,1e-05,0.00021423320921828588,0.0001713373914144983,1e-05,1e-05
terpinolene,1e-05,1e-05,1e-05,1e-05,0.00043912128052129266,0.00012575058585997132,1e-05,1.0341465315171297e-05,1e-05,1e-05,3.9563737064795435e-05,1e-05,1e-05,1e-05,3.9563737064795435e-05,1e-05,0.0002471034972826896,0.0001118293391592037,1e-05,1e-05,0.0002771222591195098,2.4397692866646402e-05,1e-05,0.0008829417974956467
a -pinene,1e-05,9.834532259575764e-05,1e-05,1e-05,0.00012071389136115335,0.00028698059473633163,1e-05,3.7910761962038456e-05,0.0001682791329477948,1e-05,1e-05,8.991207340042926e-05,1e-05,1e-05,1e-05,1e-05,1e-05,9.834532259575764e-05,1e-05,1e-05,0.0003931891371486663,0.00015262815506724117,1e-05,0.0002012783359190799
b -pinene,1e-05,1e-05,1e-05,1e-05,0.0002893016186075963,4.1382099989292634e-05,1e-05,1.0341465315171297e-05,1e-05,1.0341465315171297e-05,2.6042785621678622e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,3.131537390947473e-05,1e-05,1e-05,0.0002471034972826896,1e-05,1e-05,1e-05
(1S)-(+)-3-carene,1e-05,1e-05,1e-05,1e-05,0.001868972462246415,5.0807933303864575e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,6.170109591827987e-05,1e-05,1e-05,6.0581530345382e-05,1.951383929965917e-05,1e-05,1e-05
limonene,1e-05,1e-05,1e-05,1e-05,0.0011069960506331627,0.0002809723367106274,1e-05,1e-05,0.00043912128052129266,1e-05,1e-05,0.00016136337660656753,1e-05,1e-05,1e-05,1e-05,1e-05,6.170109591827987e-05,1e-05,1e-05,0.0003912494132485912,1e-05,1e-05,0.0002012783359190799
a-humulene,1e-05,1.0341465315171297e-05,1e-05,1e-05,1e-05,3.7910761962038456e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,6.0581530345382e-05,1e-05,1e-05,8.991207340042926e-05,1e-05,1e-05,1e-05
b-myrcene,1e-05,1e-05,1e-05,1e-05,0.00012071389136115335,0.00012167578188687022,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.00027891120829320247,9.69067811086846e-05,1e-05,1e-05,0.00012071389136115335,1e-05,1e-05,9.834532259575764e-05
(-)-trans-caryophyllene,1e-05,1e-05,1e-05,1e-05,0.00012071389136115335,2.164389086064018e-05,1e-05,3.9563737064795435e-05,3.9563737064795435e-05,1e-05,1.0341465315171297e-05,1e-05,1e-05,1e-05,3.9563737064795435e-05,1e-05,1e-05,3.9563737064795435e-05,1e-05,1e-05,0.0002471034972826896,2.4397692866646402e-05,1e-05,1e-05
p-cymene,1e-05,1e-05,1e-05,1e-05,9.834532259575764e-05,0.00011414286579957463,1e-05,1e-05,1e-05,1e-05,1e-05,3.7910761962038456e-05,1e-05,1e-05,1e-05,1e-05,1e-05,3.9563737064795435e-05,1e-05,1e-05,6.170109591827987e-05,1.7989464059794254e-05,1e-05,1e-05
geranyl acetate,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,3.131537390947473e-05,1e-05,1e-05,1e-05,0.0002885279439838414,1e-05,1e-05,1e-05,0.01864868457712765,1e-05,1e-05,1e-05,1e-05,0.0008829417974956467
a -terpineol,1e-05,1e-05,1.0341465315171297e-05,1e-05,0.0009478457498442892,0.0006624205017856108,1e-05,1.0341465315171297e-05,8.607698236551465e-05,1e-05,1e-05,3.7910761962038456e-05,1e-05,1e-05,1e-05,1e-05,8.991207340042926e-05,0.0001426571550392635,1e-05,1e-05,0.00043912128052129266,1e-05,1e-05,2.0479339060820288e-05
geraniol,1e-05,1e-05,1e-05,1e-05,1e-05,0.00021423320921828588,1e-05,5.287896297373533e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.0003955003178169639,0.0001717980011649978,0.0001717980011649978,1e-05,0.0003085954973011161,1e-05,1e-05,0.0010277347414959389
nerol,1e-05,1.0341465315171297e-05,1e-05,1e-05,0.00012119483662401179,0.00033921348330333273,1e-05,3.7910761962038456e-05,1.5225660049941577e-05,1e-05,2.0479339060820288e-05,1e-05,1e-05,1e-05,1e-05,1e-05,3.9563737064795435e-05,8.68558273476034e-05,1e-05,1e-05,0.0003410707980068767,3.131537390947473e-05,1e-05,0.0006321780467797068
linalool,7.881089908263314e-05,0.00020284463258896283,1e-05,1e-05,0.0019392870650751049,0.0005093071595041658,1e-05,0.0001859478527171598,0.00016136337660656753,1e-05,1e-05,0.00012071389136115335,1e-05,1e-05,1e-05,1e-05,0.000942360163608824,3.7910761962038456e-05,3.7672206834061706e-05,1e-05,0.00043912128052129266,1.57841421908639e-05,1e-05,0.0024947285462456467
b-citronellol,1e-05,0.00012071389136115335,1e-05,1e-05,7.508741614385087e-05,0.0001891768993323146,1e-05,1e-05,2.0479339060820288e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.00015262815506724117,1e-05,1e-05,0.0003085954973011161,1e-05,1e-05,0.0004254778321590801
linalool oxide,0.00018666570707046192,1e-05,0.0009064109409520659,1e-05,0.0011038924008820576,0.0001717980011649978,1e-05,6.170109591827987e-05,1e-05,7.508741614385087e-05,7.438661376028762e-05,0.0001579111248188024,1e-05,1e-05,9.834532259575764e-05,1e-05,0.00026392829641957565,0.0001713373914144983,0.00017087678166399878,1e-05,0.00021940879358907584,0.00042681244018324613,1e-05,0.0002771222591195098
acetaldehyde,0.00012071389136115335,0.0037112238873969034,0.0011874087089391856,0.00014447508939295856,8.041555276676668e-05,0.0007832777281161137,1.7989464059794254e-05,1.7989464059794254e-05,1e-05,1e-05,1.0341465315171297e-05,0.0005013235643524215,1e-05,1e-05,0.0006182433072358797,3.7910761962038456e-05,3.7672206834061706e-05,0.00047968784924320074,1.6043749506572358e-05,0.0002565491223555328,0.00026847204047708616,0.00020284463258896283,1e-05,7.508741614385087e-05
propanal,7.508741614385087e-05,1e-05,1e-05,1e-05,1e-05,0.0002893016186075963,1e-05,1e-05,1e-05,1e-05,6.170109591827987e-05,3.182496761771865e-05,1e-05,1e-05,3.9563737064795435e-05,1e-05,1e-05,0.00012071389136115335,1e-05,5.287896297373533e-05,0.0004618715199663597,4.9871758087295355e-05,1e-05,2.0479339060820288e-05
butanal,0.0003427599932777004,0.000494621914749099,1e-05,1e-05,1e-05,0.0005316467921359044,1e-05,1e-05,0.0006321780467797068,1e-05,0.00047968784924320074,0.00012071389136115335,1e-05,1e-05,2.0479339060820288e-05,1e-05,0.0005748290050475285,0.00017087678166399878,1e-05,1e-05,0.00047968784924320074,0.00016089527047036923,1e-05,0.00016136337660656753
pentanal,0.00012119483662401179,0.004003593074086269,0.0001618314827427658,1e-05,1e-05,0.0007801305669396835,1e-05,1e-05,0.0009064109409520659,1e-05,3.9563737064795435e-05,0.00019608818313086358,1e-05,1e-05,3.7910761962038456e-05,1e-05,0.0003476929055633268,0.0001537581858707694,1.2230964782912933e-05,1e-05,0.000494621914749099,0.0002281968299144913,1e-05,0.0001618314827427658
hexanal,8.68558273476034e-05,0.004539969914343904,0.00026847204047708616,0.0001682791329477948,1e-05,0.0025829436020628205,3.3482204649053084e-05,1e-05,0.005080229036356966,1e-05,0.000377100849374638,0.0003912494132485912,1e-05,1e-05,8.991207340042926e-05,3.253471398274825e-05,0.00019608818313086358,0.0001118293391592037,1e-05,9.834532259575764e-05,0.012105679757438051,0.0004254778321590801,1e-05,0.0001859478527171598
E2-hexenal,6.170109591827987e-05,0.010871435455389754,0.0003085954973011161,1e-05,0.0005346726315720581,0.00047968784924320074,0.0003749294500662229,1e-05,0.013014836742700785,0.0003163199342274845,0.000978760117058385,0.00029639827593032407,8.607698236551465e-05,1e-05,1e-05,1e-05,0.001636700811363095,0.0004927100297580402,1e-05,2.0479339060820288e-05,0.0026305823827327784,0.0003410707980068767,1e-05,0.0001682791329477948
furfural,1.7989464059794254e-05,0.004520435111563949,0.0011415955614726217,0.00022347291795860312,1e-05,0.00021940879358907584,8.607698236551465e-05,0.00016229958887896406,0.004520435111563949,1e-05,0.0002771222591195098,1e-05,1e-05,1e-05,0.0004765798697675037,1e-05,0.0049141322322194,0.0003410707980068767,0.0003055815964459368,1e-05,0.0005485736170059544,0.000639455621401708,1e-05,0.00021940879358907584
2-propenal,4.929952779764013e-05,0.00020284463258896283,1e-05,1e-05,1e-05,0.0002771222591195098,1e-05,1e-05,1e-05,1e-05,3.7910761962038456e-05,1e-05,1e-05,1e-05,0.00012071389136115335,1e-05,0.00012071389136115335,1.3492017774808234e-05,1e-05,8.991207340042926e-05,0.0002771222591195098,1e-05,1e-05,0.00012119483662401179
acetone,1e-05,1e-05,0.00021423320921828588,1e-05,1e-05,0.0003410707980068767,1e-05,1e-05,1e-05,1e-05,3.7910761962038456e-05,1e-05,1e-05,1e-05,0.002145865203987751,1e-05,0.0001618314827427658,1e-05,1e-05,1e-05,0.0001682791329477948,0.00015262815506724117,1e-05,1e-05
2-butanone,1e-05,1e-05,0.0011482048113558264,1e-05,1e-05,0.001019597488314809,1e-05,1e-05,3.7910761962038456e-05,1e-05,0.0001618314827427658,7.23764760611525e-05,1e-05,1e-05,0.0026389346974723935,1e-05,0.0006624205017856108,0.0001618314827427658,7.23764760611525e-05,1e-05,0.0002885279439838414,0.0003931891371486663,1e-05,1e-05
2-pentanone,0.0002012783359190799,1e-05,0.002211058603457309,9.748162051825482e-05,1e-05,0.0029729366602145864,2.8842142958349317e-05,1.750193134906329e-05,0.0015636295861078367,3.131537390947473e-05,0.0007864248892925439,0.0007832777281161137,1e-05,1e-05,0.0005748290050475285,2.6729133767805675e-05,0.0007094766117471552,0.0006571689501673895,0.00022202420641754086,1e-05,0.001622750686450622,0.0005391774640387721,1e-05,2.0479339060820288e-05
2-heptanone,0.0002973966164065116,1e-05,0.001487524827997328,7.23764760611525e-05,0.0020870648643148506,0.001622750686450622,0.00016089527047036923,1e-05,0.0017510588069075436,0.0003410707980068767,0.0007383923380959124,0.008458048792610839,1e-05,0.00012071389136115335,0.0001618314827427658,0.000273373199155969,0.003988812394339217,0.0003410707980068767,0.00022202420641754086,0.000222748562188072,0.005631467626200976,0.0003912494132485912,8.68558273476034e-05,0.005609921208501386
6-methyl-5-hepten-2-one,0.00038719593995605294,1e-05,0.0005485736170059544,1e-05,0.0006779368742348263,0.0010277347414959389,0.0001792336640077712,1e-05,1e-05,1e-05,0.0003931891371486663,0.0003085954973011161,1e-05,1e-05,1e-05,0.0003955003178169639,0.015127516659326655,0.00012119483662401179,0.0005730281288341534,1e-05,0.04025571420813721,0.00033921348330333273,1e-05,0.01483881256401523
"2,3-butanedione",1e-05,3.7910761962038456e-05,0.0006143020081524827,0.00011414286579957463,0.000273373199155969,0.0004618715199663597,4.9871758087295355e-05,1.7989464059794254e-05,3.7910761962038456e-05,1.951383929965917e-05,0.0007291470438403898,0.0001537581858707694,1e-05,1e-05,0.0012829270010550962,1e-05,0.000942360163608824,0.0003931891371486663,0.000109976302933412,0.0003148571832437103,0.0007291470438403898,0.00012071389136115335,1.3492017774808234e-05,0.00022347291795860312
phenethyl alcohol,1e-05,1e-05,9.834532259575764e-05,1e-05,3.9563737064795435e-05,0.0004254778321590801,1e-05,0.0001859478527171598,0.0017670435260877886,0.0001713373914144983,1e-05,1.0341465315171297e-05,1e-05,0.0003476929055633268,1e-05,1e-05,0.017212224956751548,0.0007801305669396835,0.00015262815506724117,1e-05,9.834532259575764e-05,5.0807933303864575e-05,1e-05,1e-05
benzyl alcohol,1e-05,1e-05,0.00021940879358907584,1e-05,1e-05,0.00034478561489610405,1e-05,0.0002471034972826896,0.00034478561489610405,0.0004618715199663597,1e-05,1e-05,1e-05,0.0015575767033153172,6.0581530345382e-05,1e-05,0.0016318142811498236,0.00022202420641754086,0.00012575058585997132,1e-05,8.991207340042926e-05,0.00021709275444793222,1e-05,1e-05
methyl salicylate,1e-05,1e-05,6.0581530345382e-05,0.0395962773186792,1e-05,1e-05,1e-05,1e-05,1e-05,9.834532259575764e-05,4.929952779764013e-05,1e-05,1e-05,0.0003931891371486663,1e-05,1e-05,0.00026392829641957565,1e-05,1e-05,1e-05,1e-05,3.131537390947473e-05,1e-05,1e-05
methyl benzoate,1e-05,1e-05,0.000377100849374638,0.06370794305284543,1e-05,0.0003912494132485912,1e-05,1e-05,1e-05,1e-05,0.0002471034972826896,0.0003055815964459368,1e-05,8.991207340042926e-05,1e-05,1e-05,0.008381131948946461,6.3391289087057e-05,0.00020284463258896283,1e-05,0.0001859478527171598,0.00047968784924320074,1e-05,0.012875646530502249
ethyl benzoate,1e-05,1e-05,0.00021423320921828588,0.07984394182706234,1e-05,0.00047968784924320074,1e-05,1e-05,1e-05,1e-05,1e-05,0.0001682791329477948,1e-05,1e-05,1e-05,1e-05,0.0066035456927373655,1e-05,1e-05,1e-05,3.9563737064795435e-05,0.0001713373914144983,1e-05,0.16623726654193274
