,2a,7a,9a,10a,19a,22a,23a,33b,35a,43a,43b,47a,47b,49b,59b,65a,67a,67c,82a,85a,85b,85f,88a,98a
3-methylbutanol,0.00018666570707046192,0.0032690450886139724,0.001287389684583051,1e-05,0.0008710133139837591,0.0014582995662797732,0.00023502431014030563,0.00023502431014030563,0.011995734472406813,0.000494621914749099,0.0004513669846735933,0.00014447508939295856,1e-05,9.834532259575764e-05,0.00017087678166399878,1e-05,0.0006624205017856108,0.0009868187383483458,0.0005141092617870113,1e-05,0.00013034310119274618,0.0003931891371486663,1e-05,3.9563737064795435e-05
3-methyl-2-buten-1-ol,0.0002771222591195098,0.006473961732387723,0.000590204338650065,1e-05,0.0005346726315720581,0.00136100310584838,0.00015262815506724117,0.00033921348330333273,0.004520435111563949,0.00018666570707046192,0.0004965337997401578,0.00010176880730846474,1e-05,0.00026392829641957565,0.0001713373914144983,1e-05,0.009492472000354241,0.0012918523681110057,0.0003410707980068767,2.0479339060820288e-05,0.00015262815506724117,0.00034478561489610405,1e-05,0.006354142769132256
1-penten-3-ol,0.00023776152789759013,0.0019222173635429884,0.008921063574042406,1e-05,0.0006182433072358797,0.0005748290050475285,0.00019608818313086358,0.00034478561489610405,0.00027891120829320247,0.0005346726315720581,0.00136100310584838,0.0003148571832437103,1e-05,0.00021423320921828588,0.00029939329735888666,1e-05,1e-05,0.001622750686450622,0.00035371319253736574,0.00010176880730846474,0.00010225656024699785,0.0003912494132485912,1e-05,1e-05
1-octen-3-ol,0.0001618314827427658,1e-05,0.0005316467921359044,1e-05,0.002841474231400911,0.0019392870650751049,8.991207340042926e-05,1e-05,0.002506888304910239,0.001287389684583051,0.000377100849374638,0.0011038924008820576,1e-05,5.287896297373533e-05,6.170109591827987e-05,6.0581530345382e-05,0.0036964325176431813,0.00018666570707046192,0.0002471034972826896,0.0003148571832437103,0.004660595727937661,0.0002809723367106274,1e-05,0.006542587913838395
E2-hexenol,0.0002565491223555328,0.004660595727937661,0.001569682468900356,1e-05,0.0008738428055693936,0.0011038924008820576,0.00033921348330333273,0.00012071389136115335,0.011412451485114394,0.00021423320921828588,0.0011038924008820576,0.00022202420641754086,1e-05,0.0003085954973011161,0.00012119483662401179,1e-05,0.001487524827997328,0.002801517593180803,5.7420557919406254e-05,0.0006682559278855031,0.0327302566154745,0.0007094766117471552,1e-05,0.009429978292483179
Z2-hexenol,0.0002471034972826896,0.0029014977705386458,0.0011038924008820576,1e-05,0.0009478457498442892,0.001622750686450622,0.0005273430141179117,0.00012071389136115335,0.007249333032016205,0.0008026392695073001,0.0045009003087839936,0.00019067969264967055,1e-05,9.834532259575764e-05,0.0001792336640077712,1e-05,0.00136100310584838,0.00136100310584838,0.00027891120829320247,1e-05,0.002841474231400911,0.0005316467921359044,1e-05,0.0011069960506331627
E3-hexenol,0.0003749294500662229,0.003333953166656774,0.00720871503377465,3.182496761771865e-05,0.0007817041475278987,0.000978760117058385,0.0003148571832437103,0.0001891768993323146,0.008979816483994532,0.00034478561489610405,0.0005316467921359044,0.0001717980011649978,1e-05,0.0001859478527171598,0.0002471034972826896,1e-05,0.003412988079987095,0.0014320096954077435,0.00022347291795860312,0.002841474231400911,0.019522138008788513,0.0008710133139837591,1e-05,0.0023054166067988636
Z3-hexenol,0.00019608818313086358,0.002868462554494586,0.0033641285739571046,1e-05,0.000942360163608824,0.0009478457498442892,0.00025954759839540294,0.0002012783359190799,0.0073432966247975184,0.001274027117724995,0.0008971524626623927,0.0004927100297580402,1e-05,0.00027891120829320247,0.00034478561489610405,1e-05,0.0016318142811498236,0.001636700811363095,0.0002471034972826896,0.0009553255550341308,0.006428768218035454,0.000590204338650065,1e-05,0.00231810143233394
glycerol,1e-05,1e-05,2.0479339060820288e-05,1e-05,1e-05,1e-05,1e-05,5.287896297373533e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"2,3-butanediol",1e-05,1e-05,0.026563817066620032,1e-05,1e-05,0.000494621914749099,1e-05,0.0002771222591195098,1e-05,1e-05,0.0015636295861078367,1e-05,1e-05,1e-05,3.131537390947473e-05,1e-05,3.7910761962038456e-05,0.00033921348330333273,0.0001426571550392635,4.092265441750683e-05,6.0581530345382e-05,6.0581530345382e-05,1e-05,1e-05
